time,Btimeseries
0.0,1.0e8
1.0,1.03421e8
2.0,1.06588e8
3.0,1.09654e8
4.0,1.12629e8
5.0,1.15516e8
6.0,1.18462e8
7.0,1.21427e8
8.0,1.24346e8
9.0,1.27101e8
10.0,1.29923e8
11.0,1.3283e8
12.0,1.35756e8
13.0,1.38627e8
14.0,1.4144e8
15.0,1.44205e8
16.0,1.47136e8
17.0,1.50053e8
18.0,1.53008e8
19.0,1.56106e8
20.0,1.59246e8
21.0,1.62489e8
22.0,1.65792e8
23.0,1.69183e8
24.0,1.72567e8
25.0,1.75908e8
26.0,1.7891e8
27.0,1.80968e8
28.0,1.82265e8
29.0,1.82915e8
30.0,1.83279e8
31.0,1.83539e8
32.0,1.8375e8
33.0,1.83866e8
34.0,1.83916e8
35.0,1.83936e8
36.0,1.83936e8
37.0,1.83941e8
38.0,1.83887e8
39.0,1.83841e8
40.0,1.83762e8
41.0,1.83673e8
42.0,1.83581e8
43.0,1.83489e8
44.0,1.83388e8
45.0,1.83279e8
46.0,1.83187e8
47.0,1.83081e8
48.0,1.8297e8
49.0,1.82854e8
50.0,1.82708e8
51.0,1.82461e8
52.0,1.82005e8
53.0,1.81448e8
54.0,1.80845e8
55.0,1.80303e8
56.0,1.79842e8
57.0,1.79487e8
58.0,1.79134e8
59.0,1.78838e8
60.0,1.78583e8
61.0,1.78349e8
62.0,1.78154e8
63.0,1.7792e8
64.0,1.77727e8
65.0,1.77518e8
66.0,1.77332e8
67.0,1.77164e8
68.0,1.76996e8
69.0,1.76824e8
70.0,1.76639e8
71.0,1.7649e8
72.0,1.76349e8
73.0,1.76197e8
74.0,1.76059e8
75.0,1.75918e8
76.0,1.75786e8
77.0,1.75659e8
78.0,1.75513e8
79.0,1.754e8
80.0,1.75281e8
81.0,1.75175e8
82.0,1.75071e8
83.0,1.74962e8
84.0,1.74857e8
85.0,1.74761e8
86.0,1.74658e8
87.0,1.74568e8
88.0,1.74472e8
89.0,1.74374e8
90.0,1.74274e8
91.0,1.7419e8
92.0,1.741e8
93.0,1.73989e8
94.0,1.73898e8
95.0,1.73808e8
96.0,1.73727e8
97.0,1.73638e8
98.0,1.7355e8
99.0,1.73478e8
100.0,1.73408e8
101.0,1.73323e8
102.0,1.73242e8
103.0,1.73156e8
104.0,1.73096e8
105.0,1.73014e8
106.0,1.72943e8
107.0,1.72869e8
108.0,1.72784e8
109.0,1.72721e8
110.0,1.7265e8
111.0,1.72572e8
112.0,1.72502e8
113.0,1.72449e8
114.0,1.72384e8
115.0,1.72314e8
116.0,1.72252e8
117.0,1.72201e8
118.0,1.72155e8
119.0,1.721e8
120.0,1.72036e8
121.0,1.71984e8
122.0,1.71927e8
123.0,1.7186e8
124.0,1.71804e8
125.0,1.71748e8
126.0,1.71692e8
127.0,1.71654e8
128.0,1.71581e8
129.0,1.71526e8
130.0,1.71472e8
131.0,1.71416e8
132.0,1.71351e8
133.0,1.71281e8
134.0,1.71242e8
135.0,1.71202e8
136.0,1.71159e8
137.0,1.71113e8
138.0,1.71069e8
139.0,1.71029e8
140.0,1.70979e8
141.0,1.70933e8
142.0,1.7089e8
143.0,1.70849e8
144.0,1.70799e8
145.0,1.70757e8
146.0,1.70705e8
147.0,1.70668e8
148.0,1.70619e8
149.0,1.70573e8
150.0,1.70521e8
151.0,1.70489e8
152.0,1.70444e8
153.0,1.70399e8
154.0,1.70362e8
155.0,1.70313e8
156.0,1.7027e8
157.0,1.70222e8
158.0,1.7018e8
159.0,1.70135e8
160.0,1.70097e8
161.0,1.70051e8
162.0,1.70008e8
163.0,1.69976e8
164.0,1.69929e8
165.0,1.69892e8
166.0,1.69864e8
167.0,1.6983e8
168.0,1.69791e8
169.0,1.69755e8
170.0,1.69713e8
171.0,1.69674e8
172.0,1.69636e8
173.0,1.69593e8
174.0,1.69565e8
175.0,1.69524e8
176.0,1.69491e8
177.0,1.69455e8
178.0,1.6943e8
179.0,1.69402e8
180.0,1.69356e8
181.0,1.6934e8
182.0,1.69296e8
183.0,1.69265e8
184.0,1.69238e8
185.0,1.69195e8
186.0,1.69166e8
187.0,1.69121e8
188.0,1.69084e8
189.0,1.69055e8
190.0,1.69028e8
191.0,1.69003e8
192.0,1.68971e8
193.0,1.68934e8
194.0,1.68903e8
195.0,1.68875e8
196.0,1.68839e8
197.0,1.68814e8
198.0,1.68779e8
199.0,1.68754e8
200.0,1.68714e8
200.0,1.68714e8
201.0,1.68674e8
202.0,1.68627e8
203.0,1.68543e8
204.0,1.68429e8
205.0,1.68272e8
206.0,1.68067e8
207.0,1.67807e8
208.0,1.67447e8
209.0,1.66994e8
210.0,1.66371e8
211.0,1.65596e8
212.0,1.64544e8
213.0,1.63186e8
214.0,1.61422e8
215.0,1.59233e8
216.0,1.56586e8
217.0,1.53209e8
218.0,1.48794e8
219.0,1.43177e8
220.0,1.35956e8
221.0,1.26911e8
222.0,1.15375e8
223.0,1.00641e8
224.0,8.229e7
225.0,6.1328e7
226.0,3.9348e7
227.0,2.1389e7
228.0,9.464e6
229.0,3.358e6
230.0,904000.0
231.0,181000.0
232.0,31000.0
233.0,5000.0
